what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297186950055
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.showInformation",1297187003565
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187003576
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187007983
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297187011680
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187016862
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187024353
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187032022
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187037393
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187273998
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1297187281178
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187287000
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297187302866
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187303251
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187304068
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187313823
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187352808
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1297187352892
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187361584
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187362905
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187367368
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187367368
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187368839
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297187370979
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187371348
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187372222
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187374793
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297187375519
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187376870
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297187378779
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187379135
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187379986
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1297187383186
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187385861
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1297187388854
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297187424106
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187424327
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187424437
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297187448023
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187471076
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187482404
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187482642
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187482731
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297187482731
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187517810
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187685203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187686326
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187962548
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297187962730
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187974281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187976364
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187976849
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187979231
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187984785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297187990477
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188015689
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188185413
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297188185509
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297188209362
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188214430
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188231958
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1297188239000
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297188263689
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188274261
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1297188275763
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1297188276118
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1297188284474
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188288375
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1297188290267
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188290602
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188292192
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188295737
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188675426
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1297188675864
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188678271
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188774645
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297188774756
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297188777452
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1297188786502
started,bundle,org.eclipse.mylyn.wikitext.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1297188826876
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.core",1297188826905
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1297188828889
