top 10 cumulative:
Fri Feb 10 20:10:45 2012    asymm_interface_0.profile

         988481 function calls (836996 primitive calls) in 131.910 seconds

   Ordered by: cumulative time
   List reduced from 318 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021  131.922  131.922 interface_asymm.py:1(<module>)
        1    0.002    0.002  131.569  131.569 interface_asymm.py:83(start)
        1    0.001    0.001  131.565  131.565 interface_asymm.py:95(listen)
        1    0.000    0.000  131.521  131.521 CCN.py:54(run)
        1    7.378    7.378  131.520  131.520 {pyccn._pyccn.run}
     2611    3.395    0.001  119.100    0.046 interface_asymm.py:123(upcall)
     2612    1.171    0.000   78.866    0.030 interface_asymm.py:104(makeDefaultContent)
     2612    0.487    0.000   63.882    0.024 ContentObject.py:44(sign)
     2612   61.416    0.024   61.473    0.024 {pyccn._pyccn.encode_ContentObject}
     5228    0.579    0.000   12.726    0.002 __init__.py:1122(info)
     5228    0.393    0.000   11.882    0.002 __init__.py:1231(_log)
    10449    1.949    0.000    7.496    0.001 Name.py:41(__init__)
     5228    0.237    0.000    7.193    0.001 __init__.py:1252(handle)
     5228    0.375    0.000    6.854    0.001 __init__.py:1284(callHandlers)
     5228    0.475    0.000    6.478    0.001 __init__.py:731(handle)


top 10 loops:
Fri Feb 10 20:10:45 2012    asymm_interface_0.profile

         988481 function calls (836996 primitive calls) in 131.910 seconds

   Ordered by: internal time
   List reduced from 318 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2612   61.416    0.024   61.473    0.024 {pyccn._pyccn.encode_ContentObject}
        1    7.378    7.378  131.520  131.520 {pyccn._pyccn.run}
     2611    4.631    0.002    4.720    0.002 {pyccn._pyccn.put}
     2611    4.522    0.002    4.522    0.002 {pyccn._pyccn.nc_verify_command}
     5223    4.111    0.001    4.111    0.001 {pyccn._pyccn.name_to_uri}
     2611    3.395    0.001  119.100    0.046 interface_asymm.py:123(upcall)
     2610    3.369    0.001    3.369    0.001 {method 'sendto' of '_socket.socket' objects}
99256/57464    3.213    0.000    3.213    0.000 ContentObject.py:131(__setattr__)
62698/39186    2.925    0.000    3.460    0.000 Name.py:71(_setattr)
   120154    2.762    0.000    2.762    0.000 Name.py:154(__getattribute__)
78330/41776    2.632    0.000    2.632    0.000 Interest.py:48(__setattr__)
54852/36568    2.017    0.000    2.059    0.000 ContentObject.py:61(__setattr__)
    10449    1.949    0.000    7.496    0.001 Name.py:41(__init__)
     5228    1.739    0.000    3.265    0.001 __init__.py:242(__init__)
     2611    1.706    0.001    3.074    0.001 {pyccn._pyccn.KeyLocator_obj_from_ccn}


overall:
Fri Feb 10 20:10:45 2012    asymm_interface_0.profile

         988481 function calls (836996 primitive calls) in 131.910 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 CCN.py:110(EventLoop)
        1    0.000    0.000    0.000    0.000 CCN.py:17(CCN)
        1    0.000    0.000    0.001    0.001 CCN.py:18(__init__)
     2612    0.063    0.000    0.101    0.000 CCN.py:23(_acquire_lock)
     2612    0.060    0.000    0.093    0.000 CCN.py:29(_release_lock)
        1    0.000    0.000  131.521  131.521 CCN.py:54(run)
        1    0.000    0.000    0.000    0.000 CCN.py:62(setRunTimeout)
        1    0.000    0.000    0.001    0.001 CCN.py:78(setInterestFilter)
        1    0.039    0.039    0.085    0.085 CCN.py:8(<module>)
     2611    0.239    0.000    5.153    0.002 CCN.py:99(put)
        1    0.000    0.000    0.000    0.000 Closure.py:26(Closure)
        1    0.000    0.000    0.000    0.000 Closure.py:45(UpcallInfo)
     2611    0.064    0.000    0.064    0.000 Closure.py:46(__init__)
        1    0.001    0.001    0.001    0.001 Closure.py:9(<module>)
        1    0.002    0.002    0.002    0.002 ContentObject.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ContentObject.py:116(SignedInfo)
     5224    0.827    0.000    3.218    0.001 ContentObject.py:117(__init__)
99256/57464    3.213    0.000    3.213    0.000 ContentObject.py:131(__setattr__)
20896/2612    1.005    0.000    1.499    0.001 ContentObject.py:136(__getattribute__)
        1    0.000    0.000    0.000    0.000 ContentObject.py:162(ContentType)
        1    0.000    0.000    0.000    0.000 ContentObject.py:182(SigningParams)
        1    0.000    0.000    0.000    0.000 ContentObject.py:22(ContentObject)
     2612    0.586    0.000    3.409    0.001 ContentObject.py:23(__init__)
     2612    0.487    0.000   63.882    0.024 ContentObject.py:44(sign)
54852/36568    2.017    0.000    2.059    0.000 ContentObject.py:61(__setattr__)
    20895    0.455    0.000    0.455    0.000 ContentObject.py:70(__getattribute__)
        1    0.000    0.000    0.000    0.000 ContentObject.py:88(Signature)
        1    0.022    0.022    0.048    0.048 Interest.py:17(<module>)
        1    0.000    0.000    0.000    0.000 Interest.py:27(Interest)
     2611    0.627    0.000    2.647    0.001 Interest.py:28(__init__)
78330/41776    2.632    0.000    2.632    0.000 Interest.py:48(__setattr__)
    13055    0.422    0.000    0.422    0.000 Interest.py:53(__getattribute__)
