top 10 cumulative:
Fri Feb 10 20:10:46 2012    unsigned_interface_0.profile

         743504 function calls (604785 primitive calls) in 106.671 seconds

   Ordered by: cumulative time
   List reduced from 309 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021  106.684  106.684 interface_unsigned.py:1(<module>)
        1    0.002    0.002  106.332  106.332 interface_unsigned.py:81(start)
        1    0.001    0.001  106.328  106.328 interface_unsigned.py:93(listen)
        1    0.000    0.000  106.289  106.289 CCN.py:54(run)
        1    9.433    9.433  106.288  106.288 {pyccn._pyccn.run}
     2568    1.287    0.001   91.891    0.036 interface_unsigned.py:120(upcall)
     2569    1.130    0.000   77.422    0.030 interface_unsigned.py:101(makeDefaultContent)
     2569    0.472    0.000   62.895    0.024 ContentObject.py:44(sign)
     2569   60.494    0.024   60.550    0.024 {pyccn._pyccn.encode_ContentObject}
    10277    1.856    0.000    7.241    0.001 Name.py:41(__init__)
     2571    0.215    0.000    6.546    0.003 __init__.py:1122(info)
     2571    0.185    0.000    6.200    0.002 __init__.py:1231(_log)
     2568    0.211    0.000    4.620    0.002 CCN.py:99(put)
     2568    4.127    0.002    4.214    0.002 {pyccn._pyccn.put}
     2571    0.119    0.000    3.846    0.001 __init__.py:1252(handle)


top 10 loops:
Fri Feb 10 20:10:46 2012    unsigned_interface_0.profile

         743504 function calls (604785 primitive calls) in 106.671 seconds

   Ordered by: internal time
   List reduced from 309 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2569   60.494    0.024   60.550    0.024 {pyccn._pyccn.encode_ContentObject}
        1    9.433    9.433  106.288  106.288 {pyccn._pyccn.run}
     2568    4.127    0.002    4.214    0.002 {pyccn._pyccn.put}
97622/56518    3.122    0.000    3.122    0.000 ContentObject.py:131(__setattr__)
61666/38541    2.897    0.000    3.398    0.000 Name.py:71(_setattr)
77040/41088    2.621    0.000    2.621    0.000 Interest.py:48(__setattr__)
   107905    2.382    0.000    2.382    0.000 Name.py:154(__getattribute__)
53949/35966    1.993    0.000    2.026    0.000 ContentObject.py:61(__setattr__)
    10277    1.856    0.000    7.241    0.001 Name.py:41(__init__)
     2568    1.287    0.001   91.891    0.036 interface_unsigned.py:120(upcall)
     2569    1.130    0.000   77.422    0.030 interface_unsigned.py:101(makeDefaultContent)
20552/2569    0.969    0.000    1.450    0.001 ContentObject.py:136(__getattribute__)
     2571    0.871    0.000    1.667    0.001 __init__.py:242(__init__)
     2571    0.849    0.000    0.849    0.000 {cPickle.dumps}
     5138    0.829    0.000    3.135    0.001 ContentObject.py:117(__init__)


overall:
Fri Feb 10 20:10:46 2012    unsigned_interface_0.profile

         743504 function calls (604785 primitive calls) in 106.671 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 CCN.py:110(EventLoop)
        1    0.000    0.000    0.000    0.000 CCN.py:17(CCN)
        1    0.000    0.000    0.001    0.001 CCN.py:18(__init__)
     2569    0.051    0.000    0.087    0.000 CCN.py:23(_acquire_lock)
     2569    0.077    0.000    0.108    0.000 CCN.py:29(_release_lock)
        1    0.000    0.000  106.289  106.289 CCN.py:54(run)
        1    0.000    0.000    0.000    0.000 CCN.py:62(setRunTimeout)
        1    0.000    0.000    0.001    0.001 CCN.py:78(setInterestFilter)
        1    0.039    0.039    0.085    0.085 CCN.py:8(<module>)
     2568    0.211    0.000    4.620    0.002 CCN.py:99(put)
        1    0.000    0.000    0.000    0.000 Closure.py:26(Closure)
        1    0.000    0.000    0.000    0.000 Closure.py:45(UpcallInfo)
     2568    0.059    0.000    0.059    0.000 Closure.py:46(__init__)
        1    0.001    0.001    0.001    0.001 Closure.py:9(<module>)
        1    0.002    0.002    0.003    0.003 ContentObject.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ContentObject.py:116(SignedInfo)
     5138    0.829    0.000    3.135    0.001 ContentObject.py:117(__init__)
97622/56518    3.122    0.000    3.122    0.000 ContentObject.py:131(__setattr__)
20552/2569    0.969    0.000    1.450    0.001 ContentObject.py:136(__getattribute__)
        1    0.000    0.000    0.000    0.000 ContentObject.py:162(ContentType)
        1    0.000    0.000    0.000    0.000 ContentObject.py:182(SigningParams)
        1    0.000    0.000    0.000    0.000 ContentObject.py:22(ContentObject)
     2569    0.533    0.000    3.291    0.001 ContentObject.py:23(__init__)
     2569    0.472    0.000   62.895    0.024 ContentObject.py:44(sign)
53949/35966    1.993    0.000    2.026    0.000 ContentObject.py:61(__setattr__)
    20551    0.466    0.000    0.466    0.000 ContentObject.py:70(__getattribute__)
        1    0.000    0.000    0.000    0.000 ContentObject.py:88(Signature)
        1    0.021    0.021    0.048    0.048 Interest.py:17(<module>)
        1    0.000    0.000    0.000    0.000 Interest.py:27(Interest)
     2568    0.610    0.000    2.644    0.001 Interest.py:28(__init__)
77040/41088    2.621    0.000    2.621    0.000 Interest.py:48(__setattr__)
    10272    0.262    0.000    0.262    0.000 Interest.py:53(__getattribute__)
        1    0.000    0.000    0.000    0.000 Interest.py:99(ExclusionFilter)
        1    0.000    0.000    0.000    0.000 Key.py:12(Key)
        1    0.000    0.000    0.000    0.000 Key.py:13(__init__)
        1    0.000    0.000    0.002    0.002 Key.py:64(fromPEM)
        1    0.000    0.000    0.000    0.000 Key.py:79(KeyLocator)
        1    0.000    0.000    0.000    0.000 Key.py:80(__init__)
        1    0.001    0.001    0.001    0.001 Key.py:9(<module>)
     10/7    0.000    0.000    0.000    0.000 Key.py:91(__setattr__)
2570/2569    0.087    0.000    0.088    0.000 Key.py:96(__getattribute__)
     2569    0.367    0.000    2.538    0.001 Name.py:100(appendVersion)
     2569    0.158    0.000    0.546    0.000 Name.py:120(__str__)
   107905    2.382    0.000    2.382    0.000 Name.py:154(__getattribute__)
     7705    0.267    0.000    0.429    0.000 Name.py:161(__getitem__)
     2568    0.086    0.000    0.156    0.000 Name.py:177(__len__)
        1    0.000    0.000    0.000    0.000 Name.py:40(Name)
    10277    1.856    0.000    7.241    0.001 Name.py:41(__init__)
61666/38541    2.897    0.000    3.398    0.000 Name.py:71(_setattr)
     2569    0.196    0.000    1.996    0.001 Name.py:79(_append)
        1    0.012    0.012    0.026    0.026 Name.py:8(<module>)
     2569    0.173    0.000    1.908    0.001 Name.py:90(append)
        1    0.000    0.000    0.000    0.000 NameCrypto.py:12(generate_application_key)
        1    0.000    0.000    0.000    0.000 NameCrypto.py:7(<module>)
        1    0.000    0.000    0.000    0.000 NameCrypto.py:9(new_state)
        1    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1036(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1077(Logger)
        2    0.000    0.000    0.000    0.000 __init__.py:1092(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1104(setLevel)
     2571    0.215    0.000    6.546    0.003 __init__.py:1122(info)
     2571    0.236    0.000    0.371    0.000 __init__.py:1197(findCaller)
     2571    0.130    0.000    1.797    0.001 __init__.py:1218(makeRecord)
     2571    0.185    0.000    6.200    0.002 __init__.py:1231(_log)
     2571    0.119    0.000    3.846    0.001 __init__.py:1252(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:1262(addHandler)
     2571    0.188    0.000    3.668    0.001 __init__.py:1284(callHandlers)
     2571    0.037    0.000    0.037    0.000 __init__.py:1310(getEffectiveLevel)
     2571    0.094    0.000    0.131    0.000 __init__.py:1324(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1351(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1357(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1365(LoggerAdapter)
     2571    0.119    0.000    0.145    0.000 __init__.py:153(getLevelName)
        1    0.000    0.000    0.001    0.001 __init__.py:1531(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1652(NullHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        3    0.000    0.000    0.000    0.000 __init__.py:210(_acquireLock)
        3    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        1    0.013    0.013    0.023    0.023 __init__.py:24(<module>)
     2571    0.871    0.000    1.667    0.001 __init__.py:242(__init__)
        1    0.002    0.002    0.002    0.002 __init__.py:346(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:490(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:532(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:569(Filterer)
        3    0.000    0.000    0.000    0.000 __init__.py:574(__init__)
     5142    0.101    0.000    0.101    0.000 __init__.py:594(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:631(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:641(Handler)
        1    0.000    0.000    0.001    0.001 __init__.py:650(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:679(createLock)
     2571    0.079    0.000    0.364    0.000 __init__.py:688(acquire)
     2571    0.080    0.000    0.659    0.000 __init__.py:695(release)
     2571    0.230    0.000    3.481    0.001 __init__.py:731(handle)
        1    0.083    0.083    0.219    0.219 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:805(StreamHandler)
     2571    0.053    0.000    0.100    0.000 __init__.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:872(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:932(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:979(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:984(__init__)
