   83,gumstix interface,INFO    ,1326617815.31,CCN_RUN_START, , 
 1925,gumstix interface,INFO    ,1.84179592133,NC_VERIFY,-2,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/030000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%C8%82%07%00%02%00%00%00%00%00%00%00%15%F7%A1%3B%D5%E0q%9DI%CBD%C2%3Cr%F2%7B%AB%1E%02y%D3R%B3c5%F6%BFu-%AC%F5%B8
 1982,gumstix interface,INFO    ,1.85409498215,CONTENT_PUT,-2,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/030000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%C8%82%07%00%02%00%00%00%00%00%00%00%15%F7%A1%3B%D5%E0q%9DI%CBD%C2%3Cr%F2%7B%AB%1E%02y%D3R%B3c5%F6%BFu-%AC%F5%B8
 1990,gumstix interface,INFO    ,1.90670681,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/000000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%CB%80%07%00%01%00%00%00%00%00%00%00%26%1E%FA%13%A3%08%A9%3C%15%EC%98%B0Y%27%A67%40z%A20%40%F28%82%1E%BC%DCk%F8%B6V%EB
 2038,gumstix interface,INFO    ,1.91381788254,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/000000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%CB%80%07%00%01%00%00%00%00%00%00%00%26%1E%FA%13%A3%08%A9%3C%15%EC%98%B0Y%27%A67%40z%A20%40%F28%82%1E%BC%DCk%F8%B6V%EB
 2051,gumstix interface,INFO    ,1.96707081795,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/060000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%80%84%07%00%03%00%00%00%00%00%00%00e%C1%B5A%DA%40%D2k%92%C4%F4%03%93o%A6%D7j5%24%85%C8%0B%E4%80%2B%A2a%15%B3A%E3r
 2098,gumstix interface,INFO    ,1.97259497643,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/060000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%80%84%07%00%03%00%00%00%00%00%00%00e%C1%B5A%DA%40%D2k%92%C4%F4%03%93o%A6%D7j5%24%85%C8%0B%E4%80%2B%A2a%15%B3A%E3r
 2109,gumstix interface,INFO    ,2.02578687668,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/090000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9Oq%87%07%00%04%00%00%00%00%00%00%00%B8%AE%21%F4%ED%AC%F7%2C%CD%92%F2%3FZ%9C%A4hvM%5E%CE4%A6%C1km%AB%F7%A7%E48RL
 2151,gumstix interface,INFO    ,2.03201293945,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/090000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9Oq%87%07%00%04%00%00%00%00%00%00%00%B8%AE%21%F4%ED%AC%F7%2C%CD%92%F2%3FZ%9C%A4hvM%5E%CE4%A6%C1km%AB%F7%A7%E48RL
 2157,gumstix interface,INFO    ,2.07372999191,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/0c0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%FE%AF%07%00%05%00%00%00%00%00%00%00%DA%A9%20%9D%83b%D1%1F%BAmG%A2%D5%CFHO%D9%3CrY%F1%ED%DES%8B%AB%29%2A%DE%F5Q8
 2333,gumstix interface,INFO    ,2.21069288254,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/0c0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%FE%AF%07%00%05%00%00%00%00%00%00%00%DA%A9%20%9D%83b%D1%1F%BAmG%A2%D5%CFHO%D9%3CrY%F1%ED%DES%8B%AB%29%2A%DE%F5Q8
 2340,gumstix interface,INFO    ,2.25698781013,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/120000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%28%BD%07%00%07%00%00%00%00%00%00%00%8B%CB~%91m9%D2l%D2%81%BC%07%BC%FE%02%3FG%12%AC%800%9A%9AX%05%D6%C6%A2HT%C2%86
 2380,gumstix interface,INFO    ,2.2618098259,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/120000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%28%BD%07%00%07%00%00%00%00%00%00%00%8B%CB~%91m9%D2l%D2%81%BC%07%BC%FE%02%3FG%12%AC%800%9A%9AX%05%D6%C6%A2HT%C2%86
