top 10 cumulative:
Mon Jan 16 00:48:00 2012    symm_interface_0.profile

         1024843 function calls (878574 primitive calls) in 135.615 seconds

   Ordered by: cumulative time
   List reduced from 323 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021  135.627  135.627 interface_symm.py:1(<module>)
        1    0.002    0.002  135.271  135.271 interface_symm.py:88(start)
        1    0.001    0.001  135.266  135.266 interface_symm.py:100(listen)
        1    0.000    0.000  135.205  135.205 CCN.py:54(run)
        1    4.669    4.669  135.205  135.205 {pyccn._pyccn.run}
     2611    2.637    0.001  125.314    0.048 interface_symm.py:128(upcall)
     2612    1.264    0.000   84.589    0.032 interface_symm.py:109(makeDefaultContent)
     2612    0.593    0.000   68.129    0.026 ContentObject.py:44(sign)
     2612   65.197    0.025   65.257    0.025 {pyccn._pyccn.encode_ContentObject}
     5228    0.460    0.000   21.866    0.004 __init__.py:1122(info)
     5228    0.452    0.000   21.154    0.004 __init__.py:1231(_log)
     5228    0.261    0.000   16.263    0.003 __init__.py:1252(handle)
     5228    0.420    0.000   15.890    0.003 __init__.py:1284(callHandlers)
10456/5228    1.024    0.000   15.469    0.003 __init__.py:731(handle)
     5228    0.271    0.000   13.713    0.003 handlers.py:1082(emit)


top 10 loops:
Mon Jan 16 00:48:00 2012    symm_interface_0.profile

         1024843 function calls (878574 primitive calls) in 135.615 seconds

   Ordered by: internal time
   List reduced from 323 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2612   65.197    0.025   65.257    0.025 {pyccn._pyccn.encode_ContentObject}
     5228    6.232    0.001    6.232    0.001 {method 'sendall' of '_socket.socket' objects}
     2611    4.960    0.002    5.073    0.002 {pyccn._pyccn.put}
        1    4.669    4.669  135.205  135.205 {pyccn._pyccn.run}
99256/57464    3.551    0.000    3.551    0.000 ContentObject.py:131(__setattr__)
     5223    3.297    0.001    3.297    0.001 {pyccn._pyccn.name_to_uri}
62698/39186    3.129    0.000    3.696    0.000 Name.py:71(_setattr)
   117543    2.942    0.000    2.942    0.000 Name.py:154(__getattribute__)
     2610    2.749    0.001    2.749    0.001 {method 'sendto' of '_socket.socket' objects}
78330/41776    2.673    0.000    2.673    0.000 Interest.py:48(__setattr__)
     2611    2.637    0.001  125.314    0.048 interface_symm.py:128(upcall)
54852/36568    2.210    0.000    2.269    0.000 ContentObject.py:61(__setattr__)
    10449    2.112    0.000    8.135    0.001 Name.py:41(__init__)
     5228    1.859    0.000    1.859    0.000 {cPickle.dumps}
     5228    1.827    0.000    3.424    0.001 __init__.py:242(__init__)


overall:
Mon Jan 16 00:48:00 2012    symm_interface_0.profile

         1024843 function calls (878574 primitive calls) in 135.615 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
