    2,borges controller,INFO    ,1328749225.76,CCN_RUN_START, , 
    3,borges controller,INFO    ,0.000880002975464,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/000000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3O%1D%99%0B%00%01%00%00%00%00%00%00%00zD%A0%D1%FCLS%01J%3Cp%D8Z%1Cw%3A%CC%F1%1E7%28q%27%13%04%EDF%B7%C0m%95%08
    4,borges controller,INFO    ,0.00152587890625,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/030000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3O%B9%9B%0B%00%02%00%00%00%00%00%00%00%21%3E%F6R%19%BFM%15%FA%FBt%23%AFA%FE%D7%14%11%DFY%1F4%8B%0FO%8A%22%1B%22%ACN%0B
    5,borges controller,INFO    ,0.00231099128723,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/060000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3O%CB%9E%0B%00%03%00%00%00%00%00%00%00%92%D9%BF%E4%1C%90%B4%86%60%96%896_-%F7Gq%CBl%9B%3F%ED%8B%DD%EC%28%AB%F2e%18%19E
   10,borges controller,INFO    ,0.00791096687317,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/090000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3O%9C%B4%0B%00%04%00%00%00%00%00%00%00%D0GGS%92%14%80fC%F28%C3%5Eo%C3%86ba%D4%212%D0%FC%E0G%B8%B5%C5%EB%F8H%8C
   12,borges controller,INFO    ,0.00914692878723,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/0c0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3O~%B9%0B%00%05%00%00%00%00%00%00%00%B6%0B%F4E%9E%27%E1N%F7L%1Do%D0p0u%CD%BD%B0%DB%D8%BE%B8lQs%07%DE%E8%01%18%03
   13,borges controller,INFO    ,0.0103840827942,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/0f0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3OV%BE%0B%00%06%00%00%00%00%00%00%00%82%19x%99%B60Z%F4fC%E3%8D%DEH%94%90fr%00%87h%03%15%B4%E2%DA%23%3D%3E%1DUn
   14,borges controller,INFO    ,0.0116438865662,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/120000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3OA%C3%0B%00%07%00%00%00%00%00%00%00%AE%D2%941%A2%EC%FC%FAr%97c%00%C2%18%FF%B6H_%A9%25%9A%14%0C%5DF%85%06%85%15%FFiy
   15,borges controller,INFO    ,0.0128450393677,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/150000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3O%F3%C7%0B%00%08%00%00%00%00%00%00%00W%BF%F2%CE%E6%A5%09%FB%AD%7F%FA%1D%B0%AE%D8X%85F%60%E0%19I%00%9E%3E%28%9F%CF%99%B7.%DD
   17,borges controller,INFO    ,0.0140640735626,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/180000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3O%B4%CC%0B%00%09%00%00%00%00%00%00%00X%AA%BCA%129%8F%A2%E5v%0BQu%12%F5%B7P%A2b%B0%12%A6%04%82%10%D2%A8%3C%7C%1B%9A%A1
   18,borges controller,INFO    ,0.0152978897095,INTEREST_EXPRESSED, , /ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/1b0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%A9%1A3O%84%D1%0B%00%0A%00%00%00%00%00%00%00%BF%40%19%F2%B2%06C%60%0B%60%99%2C%CB%00%F5%8D%84%D7Ex%5D%89%8EmF%C7%AF%7D%8B%06%3FJ
