top 10 cumulative:
Thu Oct 27 15:33:46 2011    sequencer.profile

         3397988 function calls (2261577 primitive calls) in 57.697 seconds

   Ordered by: cumulative time
   List reduced from 562 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   57.697   57.697 sequencer.py:1(<module>)
        1    0.000    0.000   57.658   57.658 sequencer.py:42(start)
        1    0.002    0.002   57.658   57.658 sequencer.py:47(play)
       14    0.364    0.026   57.557    4.111 sequencer.py:66(sendImageSequence)
    14756    0.462    0.000   57.194    0.004 sequencer.py:120(sendSignedInterest)
    14756    0.042    0.000   54.516    0.004 CCN.py:88(get)
    14756   52.210    0.004   54.393    0.004 {pyccn._pyccn.get}
    44267    0.240    0.000    1.120    0.000 Name.py:33(__init__)
    14756    0.063    0.000    0.777    0.000 NameCrypto.py:19(authenticate_command)
    14755    0.115    0.000    0.625    0.000 ContentObject.py:23(__init__)
649250/398404    0.610    0.000    0.610    0.000 Name.py:99(__setattr__)
    29510    0.135    0.000    0.480    0.000 ContentObject.py:116(__init__)
575445/324610    0.475    0.000    0.475    0.000 ContentObject.py:128(__setattr__)
354120/236080    0.409    0.000    0.416    0.000 ContentObject.py:60(__setattr__)
    14756    0.098    0.000    0.387    0.000 Interest.py:21(__init__)


top 10 loops:
Thu Oct 27 15:33:46 2011    sequencer.profile

         3397988 function calls (2261577 primitive calls) in 57.697 seconds

   Ordered by: internal time
   List reduced from 562 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14756   52.210    0.004   54.393    0.004 {pyccn._pyccn.get}
649250/398404    0.610    0.000    0.610    0.000 Name.py:99(__setattr__)
575445/324610    0.475    0.000    0.475    0.000 ContentObject.py:128(__setattr__)
    14756    0.462    0.000   57.194    0.004 sequencer.py:120(sendSignedInterest)
354120/236080    0.409    0.000    0.416    0.000 ContentObject.py:60(__setattr__)
       14    0.364    0.026   57.557    4.111 sequencer.py:66(sendImageSequence)
383656/206584    0.324    0.000    0.324    0.000 Interest.py:41(__setattr__)
295110/191822    0.246    0.000    0.246    0.000 Key.py:91(__setattr__)
    44267    0.240    0.000    1.120    0.000 Name.py:33(__init__)
